event_id,source_file,activity_label,algorithm_result,fall_type,confidence,peakG,minAcc,peakJerk,pitch,tilt,impactTilt,stillCount,movingCount,postGyro,highGyroFrac,highAccFrac,postSMA,ground_truth,lowGDurationMs,highGDurationMs,impactDurationMs,timeToStillMs,peakPostImpactGyro,gyroDecayRate,postMotionEnergy,postGyroVariance,pitchDelta,tiltDelta
1.0,Dataset 1 Object Picking (10 events.txt,0,0.0,0.0,0.68,1.89,0.49,31.64,64.85,31.4,,0,15.0,140.85,0.78,0.12,1.59,,,,,,,,,,,
2.0,Dataset 1 Object Picking (10 events.txt,0,0.0,0.0,0.84,2.49,0.47,86.21,-22.41,5.55,,32,0.0,123.9,0.76,0.04,1.51,,,,,,,,,,,
3.0,Dataset 1 Object Picking (10 events.txt,0,0.0,0.0,0.49,1.4,0.48,15.83,6.88,7.59,,92,0.0,28.43,0.12,0.0,1.37,,,,,,,,,,,
4.0,Dataset 1 Object Picking (10 events.txt,0,0.0,0.0,0.5,1.83,0.56,23.39,45.31,2.05,,0,29.0,156.48,0.94,0.11,1.7,,,,,,,,,,,
5.0,Dataset 1 Object Picking (10 events.txt,0,1.0,1.0,0.88,2.1,0.23,66.02,64.22,17.15,13.84,24,0.0,110.77,0.49,0.19,1.75,,,,,,,,,,,
6.0,Dataset 1 Object Picking (10 events.txt,0,1.0,3.0,0.85,4.32,3.46,66.41,65.06,47.78,7.81,66,0.0,70.07,0.33,0.07,2.25,,,,,,,,,,,
7.0,Dataset 1 Object Picking (10 events.txt,0,1.0,1.0,0.84,1.83,0.06,44.96,64.37,20.84,8.05,23,0.0,133.44,0.49,0.15,1.7,,,,,,,,,,,
8.0,Dataset 1 Object Picking (10 events.txt,0,0.0,0.0,0.76,4.32,0.98,302.66,54.38,53.57,,18,0.0,84.36,0.39,0.07,2.23,,,,,,,,,,,
9.0,Dataset 1 Object Picking (10 events.txt,0,0.0,0.0,0.56,2.07,1.59,30.92,27.05,58.51,,0,7.0,128.71,0.79,0.05,1.58,,,,,,,,,,,
10.0,Dataset 1 Object Picking (10 events.txt,0,0.0,0.0,0.44,1.53,0.13,14.46,64.4,1.99,,1,3.0,120.51,0.86,0.23,1.5,,,,,,,,,,,
11.0,Dataset 1 Object Picking (10 events.txt,0,0.0,0.0,0.47,1.55,0.32,12.51,76.01,10.36,,0,0.0,47.95,0.23,0.12,1.51,,,,,,,,,,,
12.0,Dataset 1 Object Picking (10 events.txt,0,1.0,1.0,0.86,1.87,0.23,32.6,63.24,3.36,11.85,28,0.0,88.29,0.49,0.11,1.38,,,,,,,,,,,
13.0,Dataset 1 Object Picking (10 events.txt,0,0.0,0.0,0.84,4.27,2.52,97.08,64.55,4.53,,15,0.0,74.45,0.63,0.02,2.18,,,,,,,,,,,
14.0,Dataset 1 Object Picking (10 events.txt,0,0.0,0.0,0.52,1.59,0.15,24.64,31.76,46.58,,0,24.0,141.44,0.93,0.2,1.66,,,,,,,,,,,
15.0,Dataset 1 Object Picking (10 events.txt,0,1.0,1.0,0.77,1.7,0.08,31.73,68.37,11.2,18.2,20,0.0,132.47,0.49,0.2,1.71,,,,,,,,,,,
16.0,Dataset 1 Object Picking (10 events.txt,0,0.0,0.0,0.65,3.6,3.06,174.77,66.85,55.32,,0,23.0,86.89,0.41,0.12,2.12,,,,,,,,,,,
17.0,Dataset 1 Object Picking (10 events.txt,0,0.0,0.0,0.6,2.24,1.45,39.81,42.32,7.66,,0,48.0,164.88,0.9,0.05,1.71,,,,,,,,,,,
18.0,Dataset 1 Object Picking (10 events.txt,0,0.0,0.0,0.52,1.37,0.96,22.4,61.5,18.13,,25,0.0,132.91,0.68,0.06,1.59,,,,,,,,,,,
19.0,Dataset 1 Object Picking (10 events.txt,0,0.0,0.0,0.82,1.75,0.7,30.3,67.62,3.91,,26,0.0,115.64,0.69,0.06,1.71,,,,,,,,,,,
20.0,Dataset 1 Object Picking (10 events.txt,0,0.0,0.0,0.45,1.81,1.63,20.39,60.79,4.63,,0,32.0,159.68,0.75,0.07,1.62,,,,,,,,,,,
21.0,Dataset 1 Object Picking (10 events.txt,0,1.0,1.0,0.72,1.53,0.53,38.55,74.42,0.98,2.59,15,0.0,59.64,0.48,0.0,1.88,,,,,,,,,,,
22.0,Dataset 1 Object Picking (10 events.txt,0,0.0,0.0,0.72,3.56,1.05,208.77,64.34,57.82,,8,20.0,98.16,0.49,0.1,2.03,,,,,,,,,,,
23.0,Dataset 1 Object Picking (10 events.txt,0,1.0,1.0,1.0,2.26,0.18,53.27,74.48,30.1,38.54,26,0.0,106.09,0.49,0.11,1.73,,,,,,,,,,,
24.0,Dataset 1 Object Picking (10 events.txt,0,0.0,0.0,0.68,2.53,1.11,119.3,68.16,48.91,,0,36.0,153.03,0.84,0.07,2.11,,,,,,,,,,,
25.0,Dataset 1 Object Picking (10 events.txt,0,1.0,2.0,0.81,2.68,0.69,97.51,58.54,4.85,9.75,11,0.0,51.31,0.35,0.22,1.72,,,,,,,,,,,
