feature,random_forest_importance,xgboost_importance
postGyro,0.14570797996549686,0.11587496846914291
highGyroFrac,0.1266494769608477,0.1966577023267746
postSMA,0.09247677076090415,0.07706952095031738
pitch,0.08795081494573022,0.07521450519561768
stillCount,0.08289918511017812,0.0395723357796669
highAccFrac,0.0827416247191301,0.10320700705051422
confidence,0.07707118222270094,0.04104597494006157
peakJerk,0.06890597635805112,0.04782671853899956
movingCount,0.062328651895140356,0.11102227121591568
peakG,0.057595022893507965,0.058497797697782516
minAcc,0.05636630106483893,0.053217656910419464
tilt,0.04848319542662846,0.0326533168554306
impactTilt,0.010823817676844963,0.04814022406935692
